device_id,UTC_dateti,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pc,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_,temperatur,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z
"375915",2025-07-11 09:07:04,2025-07-11,09:07:04,GPS,"6","4131","97","0","1.5","43.907634999999999","15.182440000000000","86","0","0","33","-958","-33","-49","-46","-789","675"
"375915",2025-07-13 09:07:15,2025-07-13,09:07:15,GPS,"7","4129","97","0","1.9","43.907673000000003","15.182539999999999","71","0","0","38","-923","-424","-94","233","-648","789"
"375915",2025-07-15 09:07:14,2025-07-15,09:07:14,GPS,"5","4117","95","0","1.3","43.907618999999997","15.182414000000000","99","0","0","36","-365","-399","-389","704","-108","780"
"375915",2025-07-17 09:07:29,2025-07-17,09:07:29,GPS,"5","4109","93","0","1.6","43.907786999999999","15.182613000000000","60","0","0","33","-610","213","-142","-537","-138","843"
"375915",2025-07-19 09:07:23,2025-07-19,09:07:23,GPS,"8","4106","93","0","0.9","43.907660999999997","15.182448000000001","92","0","92","37","-938","-408","-83","174","-693","777"
"375915",2025-07-21 09:07:29,2025-07-21,09:07:29,GPS,"7","4098","91","0","2.0","43.907691999999997","15.182434000000001","87","0","0","37","-984","-173","-4","-19","-791","694"
"375915",2025-07-23 09:07:29,2025-07-23,09:07:29,GPS,"7","4090","90","0","1.3","43.907673000000003","15.182492999999999","88","0","0","39","-992","-274","111","34","-928","513"
"375915",2025-07-25 09:07:43,2025-07-25,09:07:43,GPS,"11","4082","89","0","0.9","43.907722000000000","15.182531000000001","94","0","0","38","-616","-500","-341","-37","-536","898"
"375915",2025-07-27 09:07:43,2025-07-27,09:07:43,GPS,"5","4071","87","0","1.7","43.907730000000001","15.182486000000001","78","0","0","44","-815","17","-149","10","-838","637"
"375915",2025-07-29 09:07:34,2025-07-29,09:07:34,GPS,"11","4065","86","0","0.9","43.907707000000002","15.182503000000001","97","0","0","38","-898","-17","-117","62","-778","710"
"375915",2025-07-31 09:07:53,2025-07-31,09:07:53,GPS,"7","4062","85","0","1.2","43.907657999999998","15.182484000000001","90","0","0","48","-823","32","-92","-57","-801","691"
"375915",2025-08-02 09:07:43,2025-08-02,09:07:43,GPS,"8","4059","85","1","1.7","43.906857000000002","15.182058000000000","97","0","0","47","-870","-468","-97","9","-682","806"
"375915",2025-08-04 09:07:53,2025-08-04,09:07:53,GPS,"9","4057","85","0","0.9","43.907314000000000","15.182164999999999","103","0","118","39","-469","0","-345","-89","-331","1040"
"375915",2025-08-06 09:07:59,2025-08-06,09:07:59,GPS,"7","4057","85","0","1.1","43.907597000000003","15.182950999999999","81","0","0","36","-691","-180","-384","51","-861","620"
"375915",2025-08-08 09:08:13,2025-08-08,09:08:13,GPS,"11","4090","90","0","0.9","43.907341000000002","15.183192000000000","89","0","0","36","-851","-48","-225","-22","-1018","326"
